Number: 1 371;No;Name;TypeNo;VolVehPrT(AP);SS,VolVehPrT(AP);VolVeh_nad 3,5 t (AP);SS,VolVeh_nad 3,5 t (AP);WKTPolyWGS84
908;18325;JIZNI SPOJKA;51;128208;127543;6684;19188;LINESTRING(14.4796 50.0526,14.4796 50.0529,14.4796 50.0533,14.4795 50.0536,14.4795 50.0541,14.4795 50.0544,14.4794 50.0555,14.4794 50.0564,14.4794 50.0569,14.4796 50.0574,14.4798 50.0577,14.4802 50.0580,14.4808 50.0585)
909;18341;;80;17912;15561;271;167;LINESTRING(14.5453 50.0704,14.5446 50.0715)
910;18351;;83;1857;5416;78;76;LINESTRING(14.5779 50.0241,14.5788 50.0242,14.5794 50.0242,14.5801 50.0243,14.5803 50.0244,14.5804 50.0246,14.5805 50.0248,14.5806 50.0252,14.5805 50.0259,14.5805 50.0267,14.5804 50.0273,14.5799 50.0283,14.5793 50.0294,14.5784 50.0307,14.5781 50.0312)
911;18352;PODLESKA;75;18044;18209;1592;1343;LINESTRING(14.5893 50.0386,14.5876 50.0375,14.5874 50.0374,14.5870 50.0374,14.5857 50.0376,14.5849 50.0375,14.5831 50.0371,14.5810 50.0360,14.5804 50.0359)
912;18353;PRATELSTVI;75;16987;22412;888;1734;LINESTRING(14.5920 50.0364,14.5987 50.0316)
913;18355;K DALNICI;75;12861;11796;146;264;LINESTRING(14.5932 50.0286,14.5937 50.0267)
914;18421;;30;13838;14031;234;177;LINESTRING(14.5188 49.9948,14.5201 49.9914)
915;18424;D0 Prazsky okruh;46;70934;0;20802;0;LINESTRING(14.6299 49.9966,14.6322 49.9975,14.6342 49.9984,14.6358 49.9994,14.6371 50.0005,14.6379 50.0015,14.6385 50.0027,14.6392 50.0040,14.6399 50.0060,14.6404 50.0095)
916;18439;;99;9875;9218;229;944;LINESTRING(14.4898 50.0376,14.4910 50.0355)
917;18440;;99;2154;1823;130;87;LINESTRING(14.4926 50.0354,14.4928 50.0354,14.4931 50.0351)
918;18441;POD CHODOVEM;72;30637;27822;875;983;LINESTRING(14.4924 50.0346,14.4919 50.0343,14.4907 50.0337)
919;18442;;99;5416;4925;89;132;LINESTRING(14.4924 50.0346,14.4921 50.0352,14.4921 50.0353,14.4922 50.0354,14.4924 50.0354,14.4926 50.0354)
920;18458;5.KVETNA;61;91169;82174;2145;1607;LINESTRING(14.4672 50.0412,14.4666 50.0414,14.4644 50.0423,14.4620 50.0432,14.4596 50.0443)
921;18459;MICHELSKA;72;18249;20094;703;578;LINESTRING(14.4620 50.0426,14.4619 50.0425,14.4605 50.0414,14.4601 50.0408,14.4598 50.0401,14.4596 50.0396,14.4591 50.0390,14.4581 50.0384)
922;18461;;99;7156;0;190;0;LINESTRING(14.4510 50.0475,14.4547 50.0466)
923;18462;;97;5215;7388;290;6270;LINESTRING(14.4682 50.0391,14.4680 50.0391,14.4678 50.0391,14.4676 50.0392,14.4675 50.0392,14.4673 50.0393)
924;18463;JIZNI SPOJKA;50;142927;126387;7680;7754;LINESTRING(14.4653 50.0380,14.4651 50.0380,14.4642 50.0378,14.4633 50.0377,14.4625 50.0376,14.4613 50.0375,14.4606 50.0376,14.4597 50.0376,14.4585 50.0377)
925;18464;;97;4816;1082;236;40;LINESTRING(14.4673 50.0393,14.4669 50.0392,14.4664 50.0391,14.4662 50.0390,14.4661 50.0389,14.4660 50.0387,14.4661 50.0385,14.4660 50.0384,14.4657 50.0383,14.4655 50.0382,14.4653 50.0380)
926;18465;;97;155;788;0;40;LINESTRING(14.4672 50.0412,14.4676 50.0408,14.4682 50.0406,14.4685 50.0405,14.4686 50.0404,14.4686 50.0402,14.4686 50.0401,14.4684 50.0400,14.4683 50.0400)
927;18533;prelozka I/12;53;37087;0;3162;0;LINESTRING(14.6464 50.0682,14.6494 50.0671)
928;18534;prelozka I/12;53;34787;0;3142;0;LINESTRING(14.6644 50.0665,14.6524 50.0668,14.6508 50.0669,14.6494 50.0671)
929;18535;STAROUJEZD.;81;6732;5757;67;186;LINESTRING(14.6485 50.0684,14.6471 50.0670)
930;18536;STAROUJEZD.;81;4736;5757;126;186;LINESTRING(14.6426 50.0624,14.6434 50.0632,14.6458 50.0657,14.6471 50.0670)
931;18537;;99;3440;0;67;0;LINESTRING(14.6485 50.0684,14.6478 50.0687,14.6473 50.0687,14.6468 50.0686,14.6464 50.0682)
932;18538;;99;4042;0;60;0;LINESTRING(14.6471 50.0670,14.6480 50.0667,14.6487 50.0666,14.6491 50.0668,14.6494 50.0671)
933;18698;PRATELSTVI;75;20512;13019;2478;1195;LINESTRING(14.6579 50.0044,14.6520 50.0077)
